Hosp_Name,Hosp_ID,Hosp_Address,City,State,Action,DT_Action
Abbott Northwestern Hospital,11,800 East 28th Street,Minneapolis,MN,Warning Notice,2022-12
Abbott Northwestern Hospital,11,800 East 28th Street,Minneapolis,MN,CAP Request,2023-04
Abbott Northwestern Hospital,11,800 East 28th Street,Minneapolis,MN,Closure Notice,2023-04
Abrazo Arizona Heart Hospital,18,1930 East Thomas Road,Phoenix,AZ,Warning Notice,2023-04
Abrazo Arizona Heart Hospital,18,1930 East Thomas Road,Phoenix,AZ,Closure Notice,2023-08
Abrazo Arrowhead Hospital,21,18701 N. 67th Avenue,Glendale,AZ,Warning Notice,2023-05
Abrazo Arrowhead Hospital,21,18701 N. 67th Avenue,Glendale,AZ,Closure Notice,2023-08
Abrazo Central Campus,17,2000 West Bethany Home Road,Phoenix,AZ,Met Requirements,2023-03
Abrazo Mesa Hospital,7599,5750 East Baseline Road,Mesa,AZ,Warning Notice,2021-08
Abrazo Mesa Hospital,7599,5750 East Baseline Road,Mesa,AZ,Closure Notice,2022-02
Abrazo Scottsdale Campus,33,3929 East Bell Road,Phoenix,AZ,Warning Notice,2023-04
Abrazo Scottsdale Campus,33,3929 East Bell Road,Phoenix,AZ,Closure Notice,2023-08
Abrazo Surprise Hospital,7600,16815 West Bell Road,Surprise,AZ,Warning Notice,2021-08
Abrazo Surprise Hospital,7600,16815 West Bell Road,Surprise,AZ,CAP Request,2022-05
Abrazo Surprise Hospital,7600,16815 West Bell Road,Surprise,AZ,Closure Notice,2023-05
Abrazo West Campus,38,13677 W Mcdowell Road,Goodyear,AZ,Warning Notice,2023-04
Abrazo West Campus,38,13677 W Mcdowell Road,Goodyear,AZ,Closure Notice,2023-08
Acadia-Saint Landry Hospital,40,810 South Broadway Street,Church Point,LA,Warning Notice,2022-12
Acadia-Saint Landry Hospital,40,810 South Broadway Street,Church Point,LA,CAP Request,2023-04
Acadia-Saint Landry Hospital,40,810 South Broadway Street,Church Point,LA,Closure Notice,2023-07
Adair County Health System,94,609 SE Kent Street,Greenfield,IA,Met Requirements,2023-12
Adams Memorial Hospital,159,1100 Mercer Ave,Decatur,IN,Met Requirements,2023-12
Administracion De Servicios Medicos De Pr (Asem),99,Centro Medico de Puerto Rico Barrio Monacillos ,San Juan,PR,CAP Request,2023-06
Administracion De Servicios Medicos De Pr (Asem),99,Centro Medico de Puerto Rico Barrio Monacillos ,San Juan,PR,Met Requirements,2023-12
Adventhealth Orlando,152,601 E Rollins St,Orlando,FL,Warning Notice,2021-08
Adventhealth Orlando,152,601 E Rollins St,Orlando,FL,Closure Notice,2022-02
Adventhealth Shawnee Mission,144,9100 W 74th Street,Shawnee Mission,KS,Warning Notice,2021-09
Adventhealth Shawnee Mission,144,9100 W 74th Street,Shawnee Mission,KS,CAP Request,2022-10
Adventhealth Shawnee Mission,144,9100 W 74th Street,Shawnee Mission,KS,Closure Notice,2023-03
Adventist Health Bakersfield,143,2615 Chester Avenue,Bakersfield,CA,Met Requirements,2022-12
Adventist Health Castle,1010,640 Ulukahiki St,Kailua,HI,Met Requirements,2022-11
Adventist Health Clear Lake,137,15630 18th Ave,Clearlake,CA,Met Requirements,2023-12
Adventist Health Glendale,2281,1509 Wilson Terrace,Glendale,CA,Warning Notice,2021-04
Adventist Health Glendale,2281,1509 Wilson Terrace,Glendale,CA,CAP Request,2021-09
Adventist Health Glendale,2281,1509 Wilson Terrace,Glendale,CA,Closure Notice,2022-03
Adventist Health Hanford,24,115 Mall Drive,Hanford,CA,Warning Notice,2021-06
Adventist Health Hanford,24,115 Mall Drive,Hanford,CA,CAP Request,2021-12
Adventist Health Hanford,24,115 Mall Drive,Hanford,CA,Closure Notice,2022-02
Adventist Health Hanford,24,115 Mall Drive,Hanford,CA,Met Requirements,2023-12
Adventist Health Lodi Memorial,175,975 South Fairmont Avenue,Lodi,CA,Met Requirements,2023-01
Adventist Health Mendocino Coast,3907,700 River Drive,Fort Bragg,CA,Met Requirements,2023-12
Adventist Health Portland,20,10123 Southeast Market Street,Portland,OR,Met Requirements,2023-01
Adventist Health Sonora,176,1000 Greenley Road,Sonora,CA,Met Requirements,2022-12
Adventist Health Sonora,176,1000 Greenley Road,Sonora,CA,Met Requirements,2023-12
Adventist Health St Helena,28,10 Woodland Rd.,St. Helena,CA,Warning Notice,2021-08
Adventist Health St Helena,28,10 Woodland Rd.,St. Helena,CA,Closure Notice,2022-03
Adventist Health Tehachapi Valley,8000,1100 Magellan Dr,Tehachapi,CA,Met Requirements,2023-11
Advocate Christ Medical Center,27,4440 W 95th Street,Oak Lawn,IL,Warning Notice,2021-09
Advocate Christ Medical Center,27,4440 W 95th Street,Oak Lawn,IL,Closure Notice,2022-07
Advocate Good Samaritan Hospital,51,3815 Highland Avenue,Downers Grove,IL,Warning Notice,2023-03
Advocate Good Samaritan Hospital,51,3815 Highland Avenue,Downers Grove,IL,Closure Notice,2023-07
AHMC Anaheim Regional Medical Center,98,1111 West La Palma Avenue,Anaheim,CA,Met Requirements,2023-08
AHMC Seton Medical Center,5842,1900 Sullivan Avenue,Daly City,CA,CAP Request,2023-06
AHMC Seton Medical Center,5842,1900 Sullivan Avenue,Daly City,CA,Closure Notice,2023-09
AHMC Seton Medical Center Coastside,5843,600 Marine Boulevard,Moss Beach,CA,Met Requirements,2023-11
Alamance Regional Medical Center,71,1240 Huffman Mill Road,Burlington,NC,Warning Notice,2022-12
Alamance Regional Medical Center,71,1240 Huffman Mill Road,Burlington,NC,Closure Notice,2023-04
Alaska Regional Hospital,62,2801 Debarr Road,Anchorage,AK,Warning Notice,2021-09
Alaska Regional Hospital,62,2801 Debarr Road,Anchorage,AK,CAP Request,2022-10
Alaska Regional Hospital,62,2801 Debarr Road,Anchorage,AK,Closure Notice,2023-07
Albany Medical Center,75,43 New Scotland Ave,Albany,NY,Warning Notice,2021-08
Albany Medical Center,75,43 New Scotland Ave,Albany,NY,Closure Notice,2022-04
Alexian Brothers Medical Center,112,800 W Biesterfield Rd,Elk Grove Village,IL,Met Requirements,2022-11
Alice Peck Day Memorial Hospital,115,10 Alice Peck Day Drive,Lebanon,NH,Warning Notice,2023-01
Alice Peck Day Memorial Hospital,115,10 Alice Peck Day Drive,Lebanon,NH,Closure Notice,2023-04
Alleghany Health,118,233 Doctors Street,Sparta,NC,Warning Notice,2022-11
Alleghany Health,118,233 Doctors Street,Sparta,NC,CAP Request,2023-03
Alleghany Health,118,233 Doctors Street,Sparta,NC,Closure Notice,2023-04
Allegheny General Hospital,117,320 East North Avenue,Pittsburgh,PA,Warning Notice,2021-06
Allegheny General Hospital,117,320 East North Avenue,Pittsburgh,PA,CAP Request,2021-12
